# 0x0309 FIXED_CTR0 (INST_RETIRED.ANY)
# 0x030a FIXED_CTR1 (CPU_CLK_UNHALTED)
# 0x030b FIXED_CTR2 (CPU_CLK_UNHALTED.REF_TSC)
# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x309 0x74468aa 0x4c1f37cc798bfe
 0x1 0 0x309 0x51228a7 0x4c1f37cc79b3fc
 0x2 0 0x309 0x7210d5ab 0x4c1f37cc7a000b
 0x3 0 0x309 0x1ea4231 0x4c1f37cc7a0003
 0x4 0 0x309 0x11c09a15 0x4c1f37cc7a150e
 0x5 0 0x309 0x1f6f49 0x4c1f37cc7a14f6
 0x6 0 0x309 0x2c632c57 0x4c1f37cc7a14cd
 0x7 0 0x309 0x1726179 0x4c1f37cc7a1674
 0x8 0 0x309 0x13d1e606 0x4c1f37cc7a199c
 0x9 0 0x309 0x7155cd 0x4c1f37cc7a1b0e
 0xa 0 0x309 0x219ca235 0x4c1f37cc79ca07
 0xb 0 0x309 0x19d2beb 0x4c1f37cc79b964
 0xc 0 0x309 0xbc95585 0x4c1f37cc7c74b8
 0xd 0 0x309 0x4e2a5a8 0x4c1f37cc7c7d28
 0xe 0 0x309 0xee8ed48 0x4c1f37cc7b41fc
 0xf 0 0x309 0x130a464 0x4c1f37cc7c99ac
 0 0 0x30a 0x1ef71635 0x4c1f37cc798fd1
 0x1 0 0x30a 0x1033a747 0x4c1f37cc79ba44
 0x2 0 0x30a 0x943c710f 0x4c1f37cc7a0381
 0x3 0 0x30a 0x41c3fdd 0x4c1f37cc7a0395
 0x4 0 0x30a 0xb2f401c5 0x4c1f37cc7a2222
 0x5 0 0x30a 0x87537e 0x4c1f37cc7a1e22
 0x6 0 0x30a 0xc5f1d97f 0x4c1f37cc7a2352
 0x7 0 0x30a 0x181d56d 0x4c1f37cc7a247b
 0x8 0 0x30a 0x39b4e097 0x4c1f37cc7a2525
 0x9 0 0x30a 0xb35981 0x4c1f37cc7a2dbf
 0xa 0 0x30a 0x305c2cf8 0x4c1f37cc79ce12
 0xb 0 0x30a 0x50e9a66 0x4c1f37cc79c089
 0xc 0 0x30a 0x22fe529d 0x4c1f37cc7c792a
 0xd 0 0x30a 0x1149c436 0x4c1f37cc7c81c8
 0xe 0 0x30a 0x4449b00a 0x4c1f37cc7b4535
 0xf 0 0x30a 0x6f56fdc 0x4c1f37cc7c9dfb
 0 0 0x30b 0x5ce961d0 0x4c1f37cc799243
 0x1 0 0x30b 0x2ff10eb7 0x4c1f37cc79c069
 0x2 0 0x30b 0x172319723 0x4c1f37cc7a06f7
 0x3 0 0x30b 0xc244201 0x4c1f37cc7a07b5
 0x4 0 0x30b 0x13adbe558 0x4c1f37cc7a2dbb
 0x5 0 0x30b 0x1a2e715 0x4c1f37cc7a237f
 0x6 0 0x30b 0x23aee5ddb 0x4c1f37cc7a2dab
 0x7 0 0x30b 0x48b77c6 0x4c1f37cc7a28f4
 0x8 0 0x30b 0xa2493b4c 0x4c1f37cc7a2b97
 0x9 0 0x30b 0x19a8d72 0x4c1f37cc7a32d3
 0xa 0 0x30b 0x8b960a65 0x4c1f37cc79d270
 0xb 0 0x30b 0xf525cd3 0x4c1f37cc79c92b
 0xc 0 0x30b 0x62ef2d1c 0x4c1f37cc7c7ca8
 0xd 0 0x30b 0x31f018ac 0x4c1f37cc7c851b
 0xe 0 0x30b 0xc9a20188 0x4c1f37cc7b4880
 0xf 0 0x30b 0x124f951d 0x4c1f37cc7ca327
