# bitfield for header selection is:  0x465
cpu err msr msrdata tsc
0 0 0x38f 0 0x4c1ddb053c3682
 0x1 0 0x38f 0 0x4c1ddb053c4363
 0x2 0 0x38f 0 0x4c1ddb053f6a03
 0x3 0 0x38f 0 0x4c1ddb053f6a96
 0x4 0 0x38f 0 0x4c1ddb053f7417
 0x5 0 0x38f 0 0x4c1ddb053f7679
 0x6 0 0x38f 0 0x4c1ddb053f6eeb
 0x7 0 0x38f 0 0x4c1ddb053f6cf3
 0x8 0 0x38f 0 0x4c1ddb053ec3c1
 0x9 0 0x38f 0 0x4c1ddb053ec414
 0xa 0 0x38f 0 0x4c1ddb053ebe59
 0xb 0 0x38f 0 0x4c1ddb053ebe84
 0xc 0 0x38f 0 0x4c1ddb053ef83c
 0xd 0 0x38f 0 0x4c1ddb053ef851
 0xe 0 0x38f 0 0x4c1ddb053f0d90
 0xf 0 0x38f 0 0x4c1ddb053f1bff
 0 0 0x309 0 0x4c1ddb053c38a6
 0x1 0 0x309 0 0x4c1ddb053c4469
 0x2 0 0x309 0 0x4c1ddb053f76ba
 0x3 0 0x309 0 0x4c1ddb053f7b54
 0x4 0 0x309 0 0x4c1ddb053f7f4b
 0x5 0 0x309 0 0x4c1ddb053f80a9
 0x6 0 0x309 0 0x4c1ddb053f7a48
 0x7 0 0x309 0 0x4c1ddb053f7a58
 0x8 0 0x309 0 0x4c1ddb053ec58e
 0x9 0 0x309 0 0x4c1ddb053ec5cd
 0xa 0 0x309 0 0x4c1ddb053ec03f
 0xb 0 0x309 0 0x4c1ddb053ebffa
 0xc 0 0x309 0 0x4c1ddb053ef94f
 0xd 0 0x309 0 0x4c1ddb053efa6f
 0xe 0 0x309 0 0x4c1ddb053f0f02
 0xf 0 0x309 0 0x4c1ddb053f1d93
 0 0 0x30a 0 0x4c1ddb053c39b0
 0x1 0 0x30a 0 0x4c1ddb053c4577
 0x2 0 0x30a 0 0x4c1ddb053f8060
 0x3 0 0x30a 0 0x4c1ddb053f81e6
 0x4 0 0x30a 0 0x4c1ddb053f86b4
 0x5 0 0x30a 0 0x4c1ddb053f87bd
 0x6 0 0x30a 0 0x4c1ddb053f813f
 0x7 0 0x30a 0 0x4c1ddb053f81a5
 0x8 0 0x30a 0 0x4c1ddb053ec6f1
 0x9 0 0x30a 0 0x4c1ddb053ec749
 0xa 0 0x30a 0 0x4c1ddb053ec196
 0xb 0 0x30a 0 0x4c1ddb053ec265
 0xc 0 0x30a 0 0x4c1ddb053efa51
 0xd 0 0x30a 0 0x4c1ddb053efc3a
 0xe 0 0x30a 0 0x4c1ddb053f1074
 0xf 0 0x30a 0 0x4c1ddb053f1f69
 0 0 0x30b 0 0x4c1ddb053c3ad7
 0x1 0 0x30b 0 0x4c1ddb053c466d
 0x2 0 0x30b 0 0x4c1ddb053f87bd
 0x3 0 0x30b 0 0x4c1ddb053f8a06
 0x4 0 0x30b 0 0x4c1ddb053f8d94
 0x5 0 0x30b 0 0x4c1ddb053f8e16
 0x6 0 0x30b 0 0x4c1ddb053f8ac9
 0x7 0 0x30b 0 0x4c1ddb053f8822
 0x8 0 0x30b 0 0x4c1ddb053ec89e
 0x9 0 0x30b 0 0x4c1ddb053ec8df
 0xa 0 0x30b 0 0x4c1ddb053ec318
 0xb 0 0x30b 0 0x4c1ddb053ec3b2
 0xc 0 0x30b 0 0x4c1ddb053efc32
 0xd 0 0x30b 0 0x4c1ddb053efdc8
 0xe 0 0x30b 0 0x4c1ddb053f121e
 0xf 0 0x30b 0 0x4c1ddb053f2113
 0 0 0x38d 0x333 0x4c1ddb053c3bf3
 0x1 0 0x38d 0x333 0x4c1ddb053c476c
 0x2 0 0x38d 0x333 0x4c1ddb053f8e57
 0x3 0 0x38d 0x333 0x4c1ddb053f922e
 0x4 0 0x38d 0x333 0x4c1ddb053f93e8
 0x5 0 0x38d 0x333 0x4c1ddb053f9556
 0x6 0 0x38d 0x333 0x4c1ddb053f9246
 0x7 0 0x38d 0x333 0x4c1ddb053f8e16
 0x8 0 0x38d 0x333 0x4c1ddb053eca09
 0x9 0 0x38d 0x333 0x4c1ddb053eca71
 0xa 0 0x38d 0x333 0x4c1ddb053ec606
 0xb 0 0x38d 0x333 0x4c1ddb053ec5ed
 0xc 0 0x38d 0x333 0x4c1ddb053efd6f
 0xd 0 0x38d 0x333 0x4c1ddb053eff34
 0xe 0 0x38d 0x333 0x4c1ddb053f13bd
 0xf 0 0x38d 0x333 0x4c1ddb053f22c0
