# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0 0x4c1f37cc75f138
 0x1 0 0x38f 0 0x4c1f37cc7658e4
 0x2 0 0x38f 0 0x4c1f37cc78a0f5
 0x3 0 0x38f 0 0x4c1f37cc78a219
 0x4 0 0x38f 0 0x4c1f37cc78adf4
 0x5 0 0x38f 0 0x4c1f37cc78a8d4
 0x6 0 0x38f 0 0x4c1f37cc78a525
 0x7 0 0x38f 0 0x4c1f37cc78a5c8
 0x8 0 0x38f 0 0x4c1f37cc78a997
 0x9 0 0x38f 0 0x4c1f37cc78b0cf
 0xa 0 0x38f 0 0x4c1f37cc78b0c7
 0xb 0 0x38f 0 0x4c1f37cc78b1b7
 0xc 0 0x38f 0 0x4c1f37cc7898fa
 0xd 0 0x38f 0 0x4c1f37cc78c2e3
 0xe 0 0x38f 0 0x4c1f37cc7626d2
 0xf 0 0x38f 0 0x4c1f37cc78c32c
