# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0x700000000 0x4c1ddb05435612
 0x1 0 0x38f 0x700000000 0x4c1ddb05435cfd
 0x2 0 0x38f 0x700000000 0x4c1ddb05456793
 0x3 0 0x38f 0x700000000 0x4c1ddb054567be
 0x4 0 0x38f 0x700000000 0x4c1ddb05456c36
 0x5 0 0x38f 0x700000000 0x4c1ddb05456cd0
 0x6 0 0x38f 0x700000000 0x4c1ddb05456b44
 0x7 0 0x38f 0x700000000 0x4c1ddb05456bc6
 0x8 0 0x38f 0x700000000 0x4c1ddb05437d28
 0x9 0 0x38f 0x700000000 0x4c1ddb054368f4
 0xa 0 0x38f 0x700000000 0x4c1ddb05456e87
 0xb 0 0x38f 0x700000000 0x4c1ddb05456e76
 0xc 0 0x38f 0x700000000 0x4c1ddb05457b46
 0xd 0 0x38f 0x700000000 0x4c1ddb0543609a
 0xe 0 0x38f 0x700000000 0x4c1ddb05458cb3
 0xf 0 0x38f 0x700000000 0x4c1ddb05459ba5
