# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0 0x4cdeb1540346f3
 0x1 0 0x38f 0 0x4cdeb154039de1
 0x2 0 0x38f 0 0x4cdeb15405e81e
 0x3 0 0x38f 0 0x4cdeb15405e7c1
 0x4 0 0x38f 0 0x4cdeb15405ef22
 0x5 0 0x38f 0 0x4cdeb15405ee90
 0x6 0 0x38f 0 0x4cdeb15405e294
 0x7 0 0x38f 0 0x4cdeb15405e4b5
 0x8 0 0x38f 0 0x4cdeb15405ea2e
 0x9 0 0x38f 0 0x4cdeb15405eca4
 0xa 0 0x38f 0 0x4cdeb15405ef53
 0xb 0 0x38f 0 0x4cdeb15405efa8
 0xc 0 0x38f 0 0x4cdeb15405da28
 0xd 0 0x38f 0 0x4cdeb15405fba8
 0xe 0 0x38f 0 0x4cdeb154037cb8
 0xf 0 0x38f 0 0x4cdeb154060b66
