# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0x700000000 0x4cdd5462e9048a
 0x1 0 0x38f 0x700000000 0x4cdd5462e90b0b
 0x2 0 0x38f 0x700000000 0x4cdd5462e9499e
 0x3 0 0x38f 0x700000000 0x4cdd5462e9524c
 0x4 0 0x38f 0x700000000 0x4cdd5462e963c9
 0x5 0 0x38f 0x700000000 0x4cdd5462e9632a
 0x6 0 0x38f 0x700000000 0x4cdd5462e96253
 0x7 0 0x38f 0x700000000 0x4cdd5462e965d5
 0x8 0 0x38f 0x700000000 0x4cdd5462e96747
 0x9 0 0x38f 0x700000000 0x4cdd5462e95fe5
 0xa 0 0x38f 0x700000000 0x4cdd5462e9641a
 0xb 0 0x38f 0x700000000 0x4cdd5462e962f6
 0xc 0 0x38f 0x700000000 0x4cdd5462ebc114
 0xd 0 0x38f 0x700000000 0x4cdd5462e90eaf
 0xe 0 0x38f 0x700000000 0x4cdd5462ebd0c3
 0xf 0 0x38f 0x700000000 0x4cdd5462ebe0e3
