# bitfield for header selection is:  0x465
cpu err msr msrdata tsc
0 0 0x38f 0 0x4cdd5462e4feed
 0x1 0 0x38f 0 0x4cdd5462e50f4b
 0x2 0 0x38f 0 0x4cdd5462e878bb
 0x3 0 0x38f 0 0x4cdd5462e8795e
 0x4 0 0x38f 0 0x4cdd5462e87ee7
 0x5 0 0x38f 0 0x4cdd5462e87fb7
 0x6 0 0x38f 0 0x4cdd5462e88275
 0x7 0 0x38f 0 0x4cdd5462e87e51
 0x8 0 0x38f 0 0x4cdd5462e881df
 0x9 0 0x38f 0 0x4cdd5462e88465
 0xa 0 0x38f 0 0x4cdd5462e88475
 0xb 0 0x38f 0 0x4cdd5462e88408
 0xc 0 0x38f 0 0x4cdd5462e7fc11
 0xd 0 0x38f 0 0x4cdd5462e7fcea
 0xe 0 0x38f 0 0x4cdd5462e81000
 0xf 0 0x38f 0 0x4cdd5462e82366
 0 0 0x309 0 0x4cdd5462e5009f
 0x1 0 0x309 0 0x4cdd5462e51094
 0x2 0 0x309 0 0x4cdd5462e889e7
 0x3 0 0x309 0 0x4cdd5462e88859
 0x4 0 0x309 0 0x4cdd5462e88861
 0x5 0 0x309 0 0x4cdd5462e8896d
 0x6 0 0x309 0 0x4cdd5462e88ba6
 0x7 0 0x309 0 0x4cdd5462e8898d
 0x8 0 0x309 0 0x4cdd5462e88b58
 0x9 0 0x309 0 0x4cdd5462e88ef3
 0xa 0 0x309 0 0x4cdd5462e88f1b
 0xb 0 0x309 0 0x4cdd5462e8908d
 0xc 0 0x309 0 0x4cdd5462e7fd40
 0xd 0 0x309 0 0x4cdd5462e7fea5
 0xe 0 0x309 0 0x4cdd5462e81163
 0xf 0 0x309 0 0x4cdd5462e824b9
 0 0 0x30a 0 0x4cdd5462e50235
 0x1 0 0x30a 0 0x4cdd5462e511c9
 0x2 0 0x30a 0 0x4cdd5462e892ea
 0x3 0 0x30a 0 0x4cdd5462e8912b
 0x4 0 0x30a 0 0x4cdd5462e88f75
 0x5 0 0x30a 0 0x4cdd5462e89323
 0x6 0 0x30a 0 0x4cdd5462e89358
 0x7 0 0x30a 0 0x4cdd5462e8921f
 0x8 0 0x30a 0 0x4cdd5462e89617
 0x9 0 0x30a 0 0x4cdd5462e89880
 0xa 0 0x30a 0 0x4cdd5462e89733
 0xb 0 0x30a 0 0x4cdd5462e8968c
 0xc 0 0x30a 0 0x4cdd5462e7fe1b
 0xd 0 0x30a 0 0x4cdd5462e7ffde
 0xe 0 0x30a 0 0x4cdd5462e812b0
 0xf 0 0x30a 0 0x4cdd5462e82623
 0 0 0x30b 0 0x4cdd5462e50342
 0x1 0 0x30b 0 0x4cdd5462e512cf
 0x2 0 0x30b 0 0x4cdd5462e899c1
 0x3 0 0x30b 0 0x4cdd5462e89902
 0x4 0 0x30b 0 0x4cdd5462e89c06
 0x5 0 0x30b 0 0x4cdd5462e89b4b
 0x6 0 0x30b 0 0x4cdd5462e89dfa
 0x7 0 0x30b 0 0x4cdd5462e89eb9
 0x8 0 0x30b 0 0x4cdd5462e89f33
 0x9 0 0x30b 0 0x4cdd5462e8a23f
 0xa 0 0x30b 0 0x4cdd5462e8a22e
 0xb 0 0x30b 0 0x4cdd5462e8a1d9
 0xc 0 0x30b 0 0x4cdd5462e7ff91
 0xd 0 0x30b 0 0x4cdd5462e80107
 0xe 0 0x30b 0 0x4cdd5462e81385
 0xf 0 0x30b 0 0x4cdd5462e8275c
 0 0 0x38d 0x333 0x4cdd5462e50440
 0x1 0 0x38d 0x333 0x4cdd5462e513d7
 0x2 0 0x38d 0x333 0x4cdd5462e8a56f
 0x3 0 0x38d 0x333 0x4cdd5462e8a17c
 0x4 0 0x38d 0x333 0x4cdd5462e8a4fd
 0x5 0 0x38d 0x333 0x4cdd5462e8a553
 0x6 0 0x38d 0x333 0x4cdd5462e8a677
 0x7 0 0x38d 0x333 0x4cdd5462e8a6d9
 0x8 0 0x38d 0x333 0x4cdd5462e8a8a0
 0x9 0 0x38d 0x333 0x4cdd5462e8aa4a
 0xa 0 0x38d 0x333 0x4cdd5462e8ad3e
 0xb 0 0x38d 0x333 0x4cdd5462e8ac2e
 0xc 0 0x38d 0x333 0x4cdd5462e800b9
 0xd 0 0x38d 0x333 0x4cdd5462e80225
 0xe 0 0x38d 0x333 0x4cdd5462e814c4
 0xf 0 0x38d 0x333 0x4cdd5462e82845
