# 0x0309 FIXED_CTR0 (INST_RETIRED.ANY)
# 0x030a FIXED_CTR1 (CPU_CLK_UNHALTED)
# 0x030b FIXED_CTR2 (CPU_CLK_UNHALTED.REF_TSC)
# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x309 0xe407d76 0x4cdeb15406a127
 0x1 0 0x309 0x21595084 0x4cdeb15406c486
 0x2 0 0x309 0x15a56752 0x4cdeb15407482d
 0x3 0 0x309 0xfffea5 0x4cdeb154074800
 0x4 0 0x309 0xc4cb8fc 0x4cdeb15406d9be
 0x5 0 0x309 0x1cbf035 0x4cdeb15406de58
 0x6 0 0x309 0x1137ad2d 0x4cdeb1540748f8
 0x7 0 0x309 0x825c09 0x4cdeb154074a0c
 0x8 0 0x309 0x1133575c 0x4cdeb154074cfc
 0x9 0 0x309 0x115a886 0x4cdeb154074d1c
 0xa 0 0x309 0x150439f3 0x4cdeb15406e712
 0xb 0 0x309 0x1387f234 0x4cdeb15406e753
 0xc 0 0x309 0x32f4ded 0x4cdeb154093083
 0xd 0 0x309 0x35f5491 0x4cdeb154093c93
 0xe 0 0x309 0x6183914 0x4cdeb15406c283
 0xf 0 0x309 0x9ffb53 0x4cdeb15406df86
 0 0 0x30a 0x3dd84c3c 0x4cdeb15406a598
 0x1 0 0x30a 0x3fbbb3ad 0x4cdeb15406ca92
 0x2 0 0x30a 0x37bc49ad 0x4cdeb1540752a2
 0x3 0 0x30a 0x15c0fc3 0x4cdeb154075334
 0x4 0 0x30a 0x8ae3d714 0x4cdeb15406e137
 0x5 0 0x30a 0x45a33f2 0x4cdeb15406eab1
 0x6 0 0x30a 0x8d606a47 0x4cdeb1540753ff
 0x7 0 0x30a 0xd06de1 0x4cdeb1540755be
 0x8 0 0x30a 0x3e3c5441 0x4cdeb154075a44
 0x9 0 0x30a 0x22672cd 0x4cdeb15407571c
 0xa 0 0x30a 0x41f19d62 0x4cdeb15406ee67
 0xb 0 0x30a 0x16e3e69a 0x4cdeb15406ee6f
 0xc 0 0x30a 0xfed28a9 0x4cdeb154093513
 0xd 0 0x30a 0xd101533 0x4cdeb154093fa9
 0xe 0 0x30a 0x2242a291 0x4cdeb15406c765
 0xf 0 0x30a 0x446368d 0x4cdeb15406e5b6
 0 0 0x30b 0xacd19faf 0x4cdeb15406abe1
 0x1 0 0x30b 0xa6b299c6 0x4cdeb15406cfbe
 0x2 0 0x30b 0x966b8217 0x4cdeb154075bae
 0x3 0 0x30b 0x402ad47 0x4cdeb154075bce
 0x4 0 0x30b 0xdc516067 0x4cdeb15406ed8c
 0x5 0 0x30b 0xc4ad263 0x4cdeb15406f3fd
 0x6 0 0x30b 0x18ed6b494 0x4cdeb154075dff
 0x7 0 0x30b 0x26f9fdf 0x4cdeb154075e85
 0x8 0 0x30b 0xa5321f45 0x4cdeb154076354
 0x9 0 0x30b 0x6166632 0x4cdeb1540765b5
 0xa 0 0x30b 0xae90b952 0x4cdeb15406f852
 0xb 0 0x30b 0x4231f78a 0x4cdeb15406f353
 0xc 0 0x30b 0x2d7588fc 0x4cdeb15409399b
 0xd 0 0x30b 0x24cb3b07 0x4cdeb154094486
 0xe 0 0x30b 0x60634ab0 0x4cdeb15406cd4a
 0xf 0 0x30b 0xc5ea1a8 0x4cdeb15406eb1b
