# 0x0309 FIXED_CTR0 (INST_RETIRED.ANY)
# 0x030a FIXED_CTR1 (CPU_CLK_UNHALTED)
# 0x030b FIXED_CTR2 (CPU_CLK_UNHALTED.REF_TSC)
# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x309 0x114ec757 0x4c1dda350775a4
 0x1 0 0x309 0x15a87db0 0x4c1dda35079a14
 0x2 0 0x309 0x6049f09b 0x4c1dda3507a689
 0x3 0 0x309 0x23acf18 0x4c1dda3507bc2a
 0x4 0 0x309 0x2bc3b393 0x4c1dda350801d8
 0x5 0 0x309 0x37e1ab 0x4c1dda35080183
 0x6 0 0x309 0x1b154eb3 0x4c1dda3507e395
 0x7 0 0x309 0xb293b3 0x4c1dda3507e3b2
 0x8 0 0x309 0x1d6d3d34 0x4c1dda3507f94f
 0x9 0 0x309 0x1b9644 0x4c1dda3507f990
 0xa 0 0x309 0x29ede6b5 0x4c1dda3508062e
 0xb 0 0x309 0x55b428 0x4c1dda350805d0
 0xc 0 0x309 0x1f43ade7 0x4c1dda3509da63
 0xd 0 0x309 0x832b8dd 0x4c1dda3507a62c
 0xe 0 0x309 0x67f19c26 0x4c1dda35079cce
 0xf 0 0x309 0x1348f57 0x4c1dda3507be70
 0 0 0x30a 0x314e6433 0x4c1dda35077a3a
 0x1 0 0x30a 0x2235d511 0x4c1dda3507a0e7
 0x2 0 0x30a 0x7888c8b5 0x4c1dda3507ad0f
 0x3 0 0x30a 0x4911c40 0x4c1dda3507c1b0
 0x4 0 0x30a 0xf2ba23ce 0x4c1dda35080f31
 0x5 0 0x30a 0xf9785a 0x4c1dda35081035
 0x6 0 0x30a 0xa7c9726e 0x4c1dda3507e827
 0x7 0 0x30a 0x118fb51 0x4c1dda3507ea2f
 0x8 0 0x30a 0x3f322c57 0x4c1dda3507fed1
 0x9 0 0x30a 0x8aa714 0x4c1dda3507ffd5
 0xa 0 0x30a 0x4234d5f2 0x4c1dda35080e9f
 0xb 0 0x30a 0xaf29e9 0x4c1dda35081076
 0xc 0 0x30a 0x87d01d54 0x4c1dda3509df56
 0xd 0 0x30a 0x85939b5 0x4c1dda3507a969
 0xe 0 0x30a 0x209dde64d 0x4c1dda3507a8ef
 0xf 0 0x30a 0x4e86920 0x4c1dda3507c4ab
 0 0 0x30b 0x93792c2b 0x4c1dda3507812e
 0x1 0 0x30b 0x5d34de1c 0x4c1dda3507a675
 0x2 0 0x30b 0x134b05ca9 0x4c1dda3507b50e
 0x3 0 0x30b 0xe170355 0x4c1dda3507ca42
 0x4 0 0x30b 0x198ea65d9 0x4c1dda35081392
 0x5 0 0x30b 0x2faf111 0x4c1dda3508195d
 0x6 0 0x30b 0x1fe1bc731 0x4c1dda3507ec5c
 0x7 0 0x30b 0x2eceea4 0x4c1dda3507edfe
 0x8 0 0x30b 0xab464a6e 0x4c1dda35080467
 0x9 0 0x30b 0x1b12672 0x4c1dda3508114d
 0xa 0 0x30b 0xc4f399a8 0x4c1dda350817ef
 0xb 0 0x30b 0x2086202 0x4c1dda35081b61
 0xc 0 0x30b 0x1a5926b4c 0x4c1dda3509e2cc
 0xd 0 0x30b 0x15622c52 0x4c1dda3507b371
 0xe 0 0x30b 0x65a347b31 0x4c1dda3507b263
 0xf 0 0x30b 0xeb407fe 0x4c1dda3507c9d5
