# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0x700000000 0x4c1c7d742d55e0
 0x1 0 0x38f 0x700000000 0x4c1c7d742d5ba7
 0x2 0 0x38f 0x700000000 0x4c1c7d742d9893
 0x3 0 0x38f 0x700000000 0x4c1c7d742d8fc0
 0x4 0 0x38f 0x700000000 0x4c1c7d742d9d3d
 0x5 0 0x38f 0x700000000 0x4c1c7d742d9642
 0x6 0 0x38f 0x700000000 0x4c1c7d742d9d25
 0x7 0 0x38f 0x700000000 0x4c1c7d742d9683
 0x8 0 0x38f 0x700000000 0x4c1c7d742e1577
 0x9 0 0x38f 0x700000000 0x4c1c7d742d873a
 0xa 0 0x38f 0x700000000 0x4c1c7d742d8f26
 0xb 0 0x38f 0x700000000 0x4c1c7d742d8eb4
 0xc 0 0x38f 0x700000000 0x4c1c7d742d6115
 0xd 0 0x38f 0x700000000 0x4c1c7d743025e7
 0xe 0 0x38f 0x700000000 0x4c1c7d742d61f5
 0xf 0 0x38f 0x700000000 0x4c1c7d742d6162
