# 0x0309 FIXED_CTR0 (INST_RETIRED.ANY)
# 0x030a FIXED_CTR1 (CPU_CLK_UNHALTED)
# 0x030b FIXED_CTR2 (CPU_CLK_UNHALTED.REF_TSC)
# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x309 0x42ad3bdb3 0x4cda9037fc63b3
 0x1 0 0x309 0x128df359 0x4cda9037fc79aa
 0x2 0 0x309 0x26c7ea6d 0x4cda9037fd10ed
 0x3 0 0x309 0x5320ea 0x4cda9037fd116f
 0x4 0 0x309 0x1091d372 0x4cda9037fd0c65
 0x5 0 0x309 0x2d86854 0x4cda9037fd0c49
 0x6 0 0x309 0xe71f6d9 0x4cda9037fd07e2
 0x7 0 0x309 0xa07df9 0x4cda9037fd07a1
 0x8 0 0x309 0xe4978ec 0x4cda9037fd0e63
 0x9 0 0x309 0x63acc4b 0x4cda9037fd0b98
 0xa 0 0x309 0xdc5f7bb 0x4cda9037fd088c
 0xb 0 0x309 0x1481287f 0x4cda9037fd08a7
 0xc 0 0x309 0x836913b 0x4cda9037ff0fc2
 0xd 0 0x309 0x393ecb8 0x4cda9037fc9d22
 0xe 0 0x309 0x74fd0f26b 0x4cda9037fc8d50
 0xf 0 0x309 0x4da13d6 0x4cda9037fc987c
 0 0 0x30a 0x3d95090a3f 0x4cda9037fc6b18
 0x1 0 0x30a 0x2340f34c 0x4cda9037fc7ce6
 0x2 0 0x30a 0x5c114f3b 0x4cda9037fd16f1
 0x3 0 0x30a 0xfe7a21 0x4cda9037fd1af7
 0x4 0 0x30a 0xc3d68241 0x4cda9037fd1a3e
 0x5 0 0x30a 0x3b573ea 0x4cda9037fd1a1b
 0x6 0 0x30a 0x958b781d 0x4cda9037fd18c4
 0x7 0 0x30a 0xf6d471 0x4cda9037fd1a34
 0x8 0 0x30a 0x26c8009c 0x4cda9037fd1917
 0x9 0 0x30a 0x102d2cf0 0x4cda9037fd190d
 0xa 0 0x30a 0x2f113ddf 0x4cda9037fd22d6
 0xb 0 0x30a 0x13318a39 0x4cda9037fd2411
 0xc 0 0x30a 0xfcff466 0x4cda9037ff1444
 0xd 0 0x30a 0x6bdb926 0x4cda9037fca1f1
 0xe 0 0x30a 0x34ad4d4105 0x4cda9037fc93da
 0xf 0 0x30a 0x60308f4 0x4cda9037fc9cd1
 0 0 0x30b 0x99dae7a24c 0x4cda9037fc6f34
 0x1 0 0x30b 0x47f43895 0x4cda9037fc802b
 0x2 0 0x30b 0xd96237ff 0x4cda9037fd243b
 0x3 0 0x30b 0x2baeb6b 0x4cda9037fd249d
 0x4 0 0x30b 0x10cfc7eea 0x4cda9037fd2684
 0x5 0 0x30b 0x9187f73 0x4cda9037fd22a1
 0x6 0 0x30b 0x1733badde 0x4cda9037fd267a
 0x7 0 0x30b 0x2b63418 0x4cda9037fd2a3d
 0x8 0 0x30b 0x5943f03b 0x4cda9037fd29f2
 0x9 0 0x30b 0x23d4541d 0x4cda9037fd29a9
 0xa 0 0x30b 0x6b23447d 0x4cda9037fd2f24
 0xb 0 0x30b 0x321c7d43 0x4cda9037fd304d
 0xc 0 0x30b 0x2982197c 0x4cda9037ff1899
 0xd 0 0x30b 0x1421eb84 0x4cda9037fca52a
 0xe 0 0x30b 0xa2626563af 0x4cda9037fc9990
 0xf 0 0x30b 0xeb4e6ec 0x4cda9037fca15b
