# bitfield for header selection is:  0x465
cpu err msr msrdata tsc
0 0 0x38f 0 0x4cd93386572aba
 0x1 0 0x38f 0 0x4cd93386573692
 0x2 0 0x38f 0 0x4cd933865a2a96
 0x3 0 0x38f 0 0x4cd933865a2c04
 0x4 0 0x38f 0 0x4cd933865a2fe7
 0x5 0 0x38f 0 0x4cd933865a2f9a
 0x6 0 0x38f 0 0x4cd933865a29eb
 0x7 0 0x38f 0 0x4cd933865a2a45
 0x8 0 0x38f 0 0x4cd933865a33d2
 0x9 0 0x38f 0 0x4cd933865a334c
 0xa 0 0x38f 0 0x4cd933865a3224
 0xb 0 0x38f 0 0x4cd933865a31ba
 0xc 0 0x38f 0 0x4cd933865a930e
 0xd 0 0x38f 0 0x4cd933865a9353
 0xe 0 0x38f 0 0x4cd933865a9b1a
 0xf 0 0x38f 0 0x4cd933865ab67e
 0 0 0x309 0 0x4cd93386572ce2
 0x1 0 0x309 0 0x4cd933865737cf
 0x2 0 0x309 0 0x4cd933865a3528
 0x3 0 0x309 0 0x4cd933865a3913
 0x4 0 0x309 0 0x4cd933865a3950
 0x5 0 0x309 0 0x4cd933865a38de
 0x6 0 0x309 0 0x4cd933865a365c
 0x7 0 0x309 0 0x4cd933865a36b6
 0x8 0 0x309 0 0x4cd933865a3d50
 0x9 0 0x309 0 0x4cd933865a3fda
 0xa 0 0x309 0 0x4cd933865a3c80
 0xb 0 0x309 0 0x4cd933865a3a03
 0xc 0 0x309 0 0x4cd933865a975f
 0xd 0 0x309 0 0x4cd933865a99d5
 0xe 0 0x309 0 0x4cd933865a9fcd
 0xf 0 0x309 0 0x4cd933865abc24
 0 0 0x30a 0 0x4cd93386572e19
 0x1 0 0x30a 0 0x4cd933865738d7
 0x2 0 0x30a 0 0x4cd933865a3d48
 0x3 0 0x30a 0 0x4cd933865a4164
 0x4 0 0x30a 0 0x4cd933865a411f
 0x5 0 0x30a 0 0x4cd933865a4068
 0x6 0 0x30a 0 0x4cd933865a3d99
 0x7 0 0x30a 0 0x4cd933865a434b
 0x8 0 0x30a 0 0x4cd933865a43cd
 0x9 0 0x30a 0 0x4cd933865a4626
 0xa 0 0x30a 0 0x4cd933865a45e5
 0xb 0 0x30a 0 0x4cd933865a420e
 0xc 0 0x30a 0 0x4cd933865a9ca0
 0xd 0 0x30a 0 0x4cd933865a9f3a
 0xe 0 0x30a 0 0x4cd933865aa45f
 0xf 0 0x30a 0 0x4cd933865ac0e3
 0 0 0x30b 0 0x4cd93386572f3b
 0x1 0 0x30b 0 0x4cd933865739d7
 0x2 0 0x30b 0 0x4cd933865a454b
 0x3 0 0x30b 0 0x4cd933865a4937
 0x4 0 0x30b 0 0x4cd933865a4bbc
 0x5 0 0x30b 0 0x4cd933865a4798
 0x6 0 0x30b 0 0x4cd933865a4853
 0x7 0 0x30b 0 0x4cd933865a4b73
 0x8 0 0x30b 0 0x4cd933865a4c98
 0x9 0 0x30b 0 0x4cd933865a4f90
 0xa 0 0x30b 0 0x4cd933865a4c4b
 0xb 0 0x30b 0 0x4cd933865a4b1a
 0xc 0 0x30b 0 0x4cd933865aa1bc
 0xd 0 0x30b 0 0x4cd933865aa520
 0xe 0 0x30b 0 0x4cd933865aa932
 0xf 0 0x30b 0 0x4cd933865ac64c
 0 0 0x38d 0x333 0x4cd9338657303f
 0x1 0 0x38d 0x333 0x4cd93386573ad7
 0x2 0 0x38d 0x333 0x4cd933865a4e8c
 0x3 0 0x38d 0x333 0x4cd933865a542a
 0x4 0 0x38d 0x333 0x4cd933865a53c0
 0x5 0 0x38d 0x333 0x4cd933865a541d
 0x6 0 0x38d 0x333 0x4cd933865a50a8
 0x7 0 0x38d 0x333 0x4cd933865a5505
 0x8 0 0x38d 0x333 0x4cd933865a552e
 0x9 0 0x38d 0x333 0x4cd933865a5821
 0xa 0 0x38d 0x333 0x4cd933865a5697
 0xb 0 0x38d 0x333 0x4cd933865a5762
 0xc 0 0x38d 0x333 0x4cd933865aa61d
 0xd 0 0x38d 0x333 0x4cd933865aab8b
 0xe 0 0x38d 0x333 0x4cd933865aae93
 0xf 0 0x38d 0x333 0x4cd933865acbe2
