# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0 0x4ce00e17b35dd7
 0x1 0 0x38f 0 0x4ce00e17b3a2aa
 0x2 0 0x38f 0 0x4ce00e17b6f658
 0x3 0 0x38f 0 0x4ce00e17b6f744
 0x4 0 0x38f 0 0x4ce00e17b6ecdb
 0x5 0 0x38f 0 0x4ce00e17b6f028
 0x6 0 0x38f 0 0x4ce00e17b6f985
 0x7 0 0x38f 0 0x4ce00e17b6f8ba
 0x8 0 0x38f 0 0x4ce00e17b6fead
 0x9 0 0x38f 0 0x4ce00e17b6fe4c
 0xa 0 0x38f 0 0x4ce00e17b70288
 0xb 0 0x38f 0 0x4ce00e17b70117
 0xc 0 0x38f 0 0x4ce00e17b731e8
 0xd 0 0x38f 0 0x4ce00e17b7318d
 0xe 0 0x38f 0 0x4ce00e17b73291
 0xf 0 0x38f 0 0x4ce00e17b737bf
