# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0x700000000 0x4cdeb15772dc95
 0x1 0 0x38f 0x700000000 0x4cdeb15772e3c3
 0x2 0 0x38f 0x700000000 0x4cdeb15772ff6a
 0x3 0 0x38f 0x700000000 0x4cdeb15773359f
 0x4 0 0x38f 0x700000000 0x4cdeb157731c13
 0x5 0 0x38f 0x700000000 0x4cdeb15773297b
 0x6 0 0x38f 0x700000000 0x4cdeb15773394e
 0x7 0 0x38f 0x700000000 0x4cdeb157733cf4
 0x8 0 0x38f 0x700000000 0x4cdeb157733e52
 0x9 0 0x38f 0x700000000 0x4cdeb157733777
 0xa 0 0x38f 0x700000000 0x4cdeb15773373e
 0xb 0 0x38f 0x700000000 0x4cdeb1577339b3
 0xc 0 0x38f 0x700000000 0x4cdeb15775781d
 0xd 0 0x38f 0x700000000 0x4cdeb157758c21
 0xe 0 0x38f 0x700000000 0x4cdeb15772e74a
 0xf 0 0x38f 0x700000000 0x4cdeb1577596af
