# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0x700000000 0x4cda9a04d7a109
 0x1 0 0x38f 0x700000000 0x4cda9a04d7a91d
 0x2 0 0x38f 0x700000000 0x4cda9a04d7a7ab
 0x3 0 0x38f 0x700000000 0x4cda9a04d7a935
 0x4 0 0x38f 0x700000000 0x4cda9a04d7d9f5
 0x5 0 0x38f 0x700000000 0x4cda9a04d7d90a
 0x6 0 0x38f 0x700000000 0x4cda9a04d7e6b8
 0x7 0 0x38f 0x700000000 0x4cda9a04d7df0d
 0x8 0 0x38f 0x700000000 0x4cda9a04d864bc
 0x9 0 0x38f 0x700000000 0x4cda9a04d7d5c9
 0xa 0 0x38f 0x700000000 0x4cda9a04db49ff
 0xb 0 0x38f 0x700000000 0x4cda9a04db493c
 0xc 0 0x38f 0x700000000 0x4cda9a04d7a843
 0xd 0 0x38f 0x700000000 0x4cda9a04da938c
 0xe 0 0x38f 0x700000000 0x4cda9a04daa156
 0xf 0 0x38f 0x700000000 0x4cda9a04dab610
