# bitfield for header selection is:  0x465
cpu err msr msrdata tsc
0 0 0x38f 0 0x4cda9a04d4291e
 0x1 0 0x38f 0 0x4cda9a04d43b1b
 0x2 0 0x38f 0 0x4cda9a04d5376d
 0x3 0 0x38f 0 0x4cda9a04d537e7
 0x4 0 0x38f 0 0x4cda9a04d6f220
 0x5 0 0x38f 0 0x4cda9a04d6f479
 0x6 0 0x38f 0 0x4cda9a04d6f34d
 0x7 0 0x38f 0 0x4cda9a04d6f6c7
 0x8 0 0x38f 0 0x4cda9a04d6f7f7
 0x9 0 0x38f 0 0x4cda9a04d6f710
 0xa 0 0x38f 0 0x4cda9a04d6409f
 0xb 0 0x38f 0 0x4cda9a04d64244
 0xc 0 0x38f 0 0x4cda9a04d65b3d
 0xd 0 0x38f 0 0x4cda9a04d66442
 0xe 0 0x38f 0 0x4cda9a04d67c14
 0xf 0 0x38f 0 0x4cda9a04d68c83
 0 0 0x309 0 0x4cda9a04d42b57
 0x1 0 0x309 0 0x4cda9a04d43caf
 0x2 0 0x309 0 0x4cda9a04d5409d
 0x3 0 0x309 0 0x4cda9a04d54027
 0x4 0 0x309 0 0x4cda9a04d70003
 0x5 0 0x309 0 0x4cda9a04d7005c
 0x6 0 0x309 0 0x4cda9a04d700b6
 0x7 0 0x309 0 0x4cda9a04d702b6
 0x8 0 0x309 0 0x4cda9a04d70368
 0x9 0 0x309 0 0x4cda9a04d7043c
 0xa 0 0x309 0 0x4cda9a04d6428d
 0xb 0 0x309 0 0x4cda9a04d6440b
 0xc 0 0x309 0 0x4cda9a04d65d24
 0xd 0 0x309 0 0x4cda9a04d66544
 0xe 0 0x309 0 0x4cda9a04d67df2
 0xf 0 0x309 0 0x4cda9a04d68e5c
 0 0 0x30a 0 0x4cda9a04d42c81
 0x1 0 0x30a 0 0x4cda9a04d43dee
 0x2 0 0x30a 0 0x4cda9a04d54716
 0x3 0 0x30a 0 0x4cda9a04d545bd
 0x4 0 0x30a 0 0x4cda9a04d707a5
 0x5 0 0x30a 0 0x4cda9a04d7080b
 0x6 0 0x30a 0 0x4cda9a04d707de
 0x7 0 0x30a 0 0x4cda9a04d70bda
 0x8 0 0x30a 0 0x4cda9a04d70991
 0x9 0 0x30a 0 0x4cda9a04d70ab5
 0xa 0 0x30a 0 0x4cda9a04d64564
 0xb 0 0x30a 0 0x4cda9a04d64515
 0xc 0 0x30a 0 0x4cda9a04d65e06
 0xd 0 0x30a 0 0x4cda9a04d6669a
 0xe 0 0x30a 0 0x4cda9a04d67f37
 0xf 0 0x30a 0 0x4cda9a04d6900f
 0 0 0x30b 0 0x4cda9a04d42d9c
 0x1 0 0x30b 0 0x4cda9a04d43f00
 0x2 0 0x30b 0 0x4cda9a04d54d9c
 0x3 0 0x30b 0 0x4cda9a04d54be1
 0x4 0 0x30b 0 0x4cda9a04d71016
 0x5 0 0x30b 0 0x4cda9a04d7103b
 0x6 0 0x30b 0 0x4cda9a04d70f5b
 0x7 0 0x30b 0 0x4cda9a04d71467
 0x8 0 0x30b 0 0x4cda9a04d70f70
 0x9 0 0x30b 0 0x4cda9a04d71267
 0xa 0 0x30b 0 0x4cda9a04d64806
 0xb 0 0x30b 0 0x4cda9a04d648b5
 0xc 0 0x30b 0 0x4cda9a04d65f94
 0xd 0 0x30b 0 0x4cda9a04d667cc
 0xe 0 0x30b 0 0x4cda9a04d680f1
 0xf 0 0x30b 0 0x4cda9a04d691af
 0 0 0x38d 0x333 0x4cda9a04d42ec0
 0x1 0 0x38d 0x333 0x4cda9a04d44004
 0x2 0 0x38d 0x333 0x4cda9a04d5539c
 0x3 0 0x38d 0x333 0x4cda9a04d5518c
 0x4 0 0x38d 0x333 0x4cda9a04d718b0
 0x5 0 0x38d 0x333 0x4cda9a04d719c0
 0x6 0 0x38d 0x333 0x4cda9a04d71894
 0x7 0 0x38d 0x333 0x4cda9a04d71d0d
 0x8 0 0x38d 0x333 0x4cda9a04d718cd
 0x9 0 0x38d 0x333 0x4cda9a04d71ab8
 0xa 0 0x38d 0x333 0x4cda9a04d649c1
 0xb 0 0x38d 0x333 0x4cda9a04d64a16
 0xc 0 0x38d 0x333 0x4cda9a04d6613f
 0xd 0 0x38d 0x333 0x4cda9a04d668f5
 0xe 0 0x38d 0x333 0x4cda9a04d6829c
 0xf 0 0x38d 0x333 0x4cda9a04d69358
