# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0 0x4cdbf6c3ff16ee
 0x1 0 0x38f 0 0x4cdbf6c3ff7097
 0x2 0 0x38f 0 0x4cdbf6c401c6b2
 0x3 0 0x38f 0 0x4cdbf6c401c3a6
 0x4 0 0x38f 0 0x4cdbf6c401c9ae
 0x5 0 0x38f 0 0x4cdbf6c401d00f
 0x6 0 0x38f 0 0x4cdbf6c401cee3
 0x7 0 0x38f 0 0x4cdbf6c401cf40
 0x8 0 0x38f 0 0x4cdbf6c401ccff
 0x9 0 0x38f 0 0x4cdbf6c401ced6
 0xa 0 0x38f 0 0x4cdbf6c401dc80
 0xb 0 0x38f 0 0x4cdbf6c401dfd5
 0xc 0 0x38f 0 0x4cdbf6c401de13
 0xd 0 0x38f 0 0x4cdbf6c401eea9
 0xe 0 0x38f 0 0x4cdbf6c3ff4f8e
 0xf 0 0x38f 0 0x4cdbf6c4020d8e
