# 0x0309 FIXED_CTR0 (INST_RETIRED.ANY)
# 0x030a FIXED_CTR1 (CPU_CLK_UNHALTED)
# 0x030b FIXED_CTR2 (CPU_CLK_UNHALTED.REF_TSC)
# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x309 0x72fe157c 0x4cdbf6c402b297
 0x1 0 0x309 0xb061b99 0x4cdbf6c402d879
 0x2 0 0x309 0x28520b8b 0x4cdbf6c4032ac9
 0x3 0 0x309 0x10779f7 0x4cdbf6c4032ae1
 0x4 0 0x309 0x17afa69f 0x4cdbf6c4033d87
 0x5 0 0x309 0x1f88c86 0x4cdbf6c4033db3
 0x6 0 0x309 0xe51d746 0x4cdbf6c4032f77
 0x7 0 0x309 0x13f9fc7 0x4cdbf6c40330dd
 0x8 0 0x309 0xaafe97b 0x4cdbf6c4033c01
 0x9 0 0x309 0x11c9067 0x4cdbf6c4033c21
 0xa 0 0x309 0x2b1fb44f 0x4cdbf6c40346d3
 0xb 0 0x309 0x10581910 0x4cdbf6c40347f0
 0xc 0 0x309 0x6517f22 0x4cdbf6c4058863
 0xd 0 0x309 0x234b31c 0x4cdbf6c405909b
 0xe 0 0x309 0xc1ea81e2 0x4cdbf6c402d67a
 0xf 0 0x309 0xa8988b 0x4cdbf6c402f6af
 0 0 0x30a 0x55fbfec0e 0x4cdbf6c402b73e
 0x1 0 0x30a 0x2272fddd 0x4cdbf6c402de0f
 0x2 0 0x30a 0x69856c2b 0x4cdbf6c4032f2e
 0x3 0 0x30a 0x174755d 0x4cdbf6c4032f0e
 0x4 0 0x30a 0xb45b73a4 0x4cdbf6c403495d
 0x5 0 0x30a 0x466af35 0x4cdbf6c4034c14
 0x6 0 0x30a 0x80bf172b 0x4cdbf6c40335d8
 0x7 0 0x30a 0x11ea1ff 0x4cdbf6c4033666
 0x8 0 0x30a 0x2a04e461 0x4cdbf6c4034969
 0x9 0 0x30a 0xf0cb63 0x4cdbf6c4034aa2
 0xa 0 0x30a 0x394d7eb3 0x4cdbf6c40351d7
 0xb 0 0x30a 0x10cd2142 0x4cdbf6c4035269
 0xc 0 0x30a 0xb79fadb 0x4cdbf6c4058d42
 0xd 0 0x30a 0x6173ff8 0x4cdbf6c40595f8
 0xe 0 0x30a 0x6b468f5d6 0x4cdbf6c402dbdb
 0xf 0 0x30a 0x2341918 0x4cdbf6c402f926
 0 0 0x30b 0x106c0cda33 0x4cdbf6c402ba09
 0x1 0 0x30b 0x607eba7f 0x4cdbf6c402e3b9
 0x2 0 0x30b 0x1297d3334 0x4cdbf6c4033687
 0x3 0 0x30b 0x479da66 0x4cdbf6c40333a8
 0x4 0 0x30b 0x136ccf0f6 0x4cdbf6c4035644
 0x5 0 0x30b 0xd47986d 0x4cdbf6c403579d
 0x6 0 0x30b 0x1875159a4 0x4cdbf6c4033b52
 0x7 0 0x30b 0x37f10ae 0x4cdbf6c4033c5e
 0x8 0 0x30b 0x7806290d 0x4cdbf6c40352e3
 0x9 0 0x30b 0x2f05daa 0x4cdbf6c40355e7
 0xa 0 0x30b 0x8329d2b7 0x4cdbf6c4035df6
 0xb 0 0x30b 0x3391df92 0x4cdbf6c4035ee2
 0xc 0 0x30b 0x236cc2b7 0x4cdbf6c40590b0
 0xd 0 0x30b 0x129ab642 0x4cdbf6c4059925
 0xe 0 0x30b 0x14a4f88f1e 0x4cdbf6c402e1d2
 0xf 0 0x30b 0x69c7777 0x4cdbf6c402fcc9
