# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0x700000000 0x4c1b1805efcac7
 0x1 0 0x38f 0x700000000 0x4c1b1805efd104
 0x2 0 0x38f 0x700000000 0x4c1b1805f05259
 0x3 0 0x38f 0x700000000 0x4c1b1805f051ab
 0x4 0 0x38f 0x700000000 0x4c1b1805f051bb
 0x5 0 0x38f 0x700000000 0x4c1b1805f05245
 0x6 0 0x38f 0x700000000 0x4c1b1805f2107c
 0x7 0 0x38f 0x700000000 0x4c1b1805f210fa
 0x8 0 0x38f 0x700000000 0x4c1b1805f0a17f
 0x9 0 0x38f 0x700000000 0x4c1b1805effc9c
 0xa 0 0x38f 0x700000000 0x4c1b1805f05531
 0xb 0 0x38f 0x700000000 0x4c1b1805f0561c
 0xc 0 0x38f 0x700000000 0x4c1b1805f2e529
 0xd 0 0x38f 0x700000000 0x4c1b1805f2f3d5
 0xe 0 0x38f 0x700000000 0x4c1b1805f228ea
 0xf 0 0x38f 0x700000000 0x4c1b1805f3054a
