# bitfield for header selection is:  0x465
cpu err msr msrdata tsc
0 0 0x38f 0 0x4cdbf78e38c964
 0x1 0 0x38f 0 0x4cdbf78e38cfd7
 0x2 0 0x38f 0 0x4cdbf78e3905cd
 0x3 0 0x38f 0 0x4cdbf78e390578
 0x4 0 0x38f 0 0x4cdbf78e392529
 0x5 0 0x38f 0 0x4cdbf78e3924d4
 0x6 0 0x38f 0 0x4cdbf78e3af329
 0x7 0 0x38f 0 0x4cdbf78e3af628
 0x8 0 0x38f 0 0x4cdbf78e3af849
 0x9 0 0x38f 0 0x4cdbf78e3af7d7
 0xa 0 0x38f 0 0x4cdbf78e3af910
 0xb 0 0x38f 0 0x4cdbf78e3af982
 0xc 0 0x38f 0 0x4cdbf78e3b7248
 0xd 0 0x38f 0 0x4cdbf78e3b78ce
 0xe 0 0x38f 0 0x4cdbf78e3b8f65
 0xf 0 0x38f 0 0x4cdbf78e3ba3d3
 0 0 0x309 0 0x4cdbf78e38caf8
 0x1 0 0x309 0 0x4cdbf78e38d140
 0x2 0 0x309 0 0x4cdbf78e390dc5
 0x3 0 0x309 0 0x4cdbf78e390df2
 0x4 0 0x309 0 0x4cdbf78e392d82
 0x5 0 0x309 0 0x4cdbf78e392d2d
 0x6 0 0x309 0 0x4cdbf78e3afde7
 0x7 0 0x309 0 0x4cdbf78e3b0003
 0x8 0 0x309 0 0x4cdbf78e3b0371
 0x9 0 0x309 0 0x4cdbf78e3b04ce
 0xa 0 0x309 0 0x4cdbf78e3b0450
 0xb 0 0x309 0 0x4cdbf78e3b0599
 0xc 0 0x309 0 0x4cdbf78e3b73f3
 0xd 0 0x309 0 0x4cdbf78e3b79b1
 0xe 0 0x309 0 0x4cdbf78e3b9142
 0xf 0 0x309 0 0x4cdbf78e3ba5b1
 0 0 0x30a 0 0x4cdbf78e38cc18
 0x1 0 0x30a 0 0x4cdbf78e38d265
 0x2 0 0x30a 0 0x4cdbf78e39142e
 0x3 0 0x30a 0 0x4cdbf78e39147f
 0x4 0 0x30a 0 0x4cdbf78e393428
 0x5 0 0x30a 0 0x4cdbf78e3933aa
 0x6 0 0x30a 0 0x4cdbf78e3b04a1
 0x7 0 0x30a 0 0x4cdbf78e3b080b
 0x8 0 0x30a 0 0x4cdbf78e3b0a74
 0x9 0 0x30a 0 0x4cdbf78e3b0bea
 0xa 0 0x30a 0 0x4cdbf78e3b0ede
 0xb 0 0x30a 0 0x4cdbf78e3b0e54
 0xc 0 0x30a 0 0x4cdbf78e3b758f
 0xd 0 0x30a 0 0x4cdbf78e3b7b21
 0xe 0 0x30a 0 0x4cdbf78e3b92ff
 0xf 0 0x30a 0 0x4cdbf78e3ba770
 0 0 0x30b 0 0x4cdbf78e38cd5b
 0x1 0 0x30b 0 0x4cdbf78e38d373
 0x2 0 0x30b 0 0x4cdbf78e391a8f
 0x3 0 0x30b 0 0x4cdbf78e391ac0
 0x4 0 0x30b 0 0x4cdbf78e393c75
 0x5 0 0x30b 0 0x4cdbf78e393c28
 0x6 0 0x30b 0 0x4cdbf78e3b0d99
 0x7 0 0x30b 0 0x4cdbf78e3b0e74
 0x8 0 0x30b 0 0x4cdbf78e3b110e
 0x9 0 0x30b 0 0x4cdbf78e3b120a
 0xa 0 0x30b 0 0x4cdbf78e3b155f
 0xb 0 0x30b 0 0x4cdbf78e3b14ad
 0xc 0 0x30b 0 0x4cdbf78e3b76dc
 0xd 0 0x30b 0 0x4cdbf78e3b7be8
 0xe 0 0x30b 0 0x4cdbf78e3b9454
 0xf 0 0x30b 0 0x4cdbf78e3ba924
 0 0 0x38d 0x333 0x4cdbf78e38ce7e
 0x1 0 0x38d 0x333 0x4cdbf78e38d47f
 0x2 0 0x38d 0x333 0x4cdbf78e3920d0
 0x3 0 0x38d 0x333 0x4cdbf78e3920fd
 0x4 0 0x38d 0x333 0x4cdbf78e3942a9
 0x5 0 0x38d 0x333 0x4cdbf78e39422f
 0x6 0 0x38d 0x333 0x4cdbf78e3b143b
 0x7 0 0x38d 0x333 0x4cdbf78e3b1584
 0x8 0 0x38d 0x333 0x4cdbf78e3b17cd
 0x9 0 0x38d 0x333 0x4cdbf78e3b1a90
 0xa 0 0x38d 0x333 0x4cdbf78e3b1bb0
 0xb 0 0x38d 0x333 0x4cdbf78e3b1ccd
 0xc 0 0x38d 0x333 0x4cdbf78e3b78b6
 0xd 0 0x38d 0x333 0x4cdbf78e3b7d04
 0xe 0 0x38d 0x333 0x4cdbf78e3b960b
 0xf 0 0x38d 0x333 0x4cdbf78e3baac7
