# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x38f 0x700000000 0x4c1f37e26f7d1b
 0x1 0 0x38f 0x700000000 0x4c1f37e26f81ea
 0x2 0 0x38f 0x700000000 0x4c1f37e27005f6
 0x3 0 0x38f 0x700000000 0x4c1f37e2700599
 0x4 0 0x38f 0x700000000 0x4c1f37e27006d6
 0x5 0 0x38f 0x700000000 0x4c1f37e27008de
 0x6 0 0x38f 0x700000000 0x4c1f37e270041b
 0x7 0 0x38f 0x700000000 0x4c1f37e27003c6
 0x8 0 0x38f 0x700000000 0x4c1f37e2703934
 0x9 0 0x38f 0x700000000 0x4c1f37e26fad25
 0xa 0 0x38f 0x700000000 0x4c1f37e26fa5cc
 0xb 0 0x38f 0x700000000 0x4c1f37e26fa45a
 0xc 0 0x38f 0x700000000 0x4c1f37e271cd92
 0xd 0 0x38f 0x700000000 0x4c1f37e271de81
 0xe 0 0x38f 0x700000000 0x4c1f37e26f85e9
 0xf 0 0x38f 0x700000000 0x4c1f37e271ed77
