# 0x0309 FIXED_CTR0 (INST_RETIRED.ANY)
# 0x030a FIXED_CTR1 (CPU_CLK_UNHALTED)
# 0x030b FIXED_CTR2 (CPU_CLK_UNHALTED.REF_TSC)
# bitfield for header selection is:  0x465
 cpu err msr msrdata tsc
 0 0 0x309 0x22c6a73a 0x4c2094aeea8f53
 0x1 0 0x309 0x18125503 0x4c2094aeeaac7a
 0x2 0 0x309 0x68b20e82 0x4c2094aeeb3e18
 0x3 0 0x309 0x2c068a3 0x4c2094aeeb3e40
 0x4 0 0x309 0x5fc9242c 0x4c2094aeeb39c7
 0x5 0 0x309 0x62737ef 0x4c2094aeeb39cf
 0x6 0 0x309 0x2a951e4f 0x4c2094aeeac836
 0x7 0 0x309 0x4132939 0x4c2094aeeac75c
 0x8 0 0x309 0x1777a006 0x4c2094aeeac5ed
 0x9 0 0x309 0x1f865d58 0x4c2094aeead2a0
 0xa 0 0x309 0x1bd8006b 0x4c2094aeeb38b2
 0xb 0 0x309 0x4be2b77 0x4c2094aeeb3a24
 0xc 0 0x309 0x17d8d4ad 0x4c2094aeead044
 0xd 0 0x309 0x133d3da2 0x4c2094aeead091
 0xe 0 0x309 0xe6db4f0 0x4c2094aeecd638
 0xf 0 0x309 0xd815c3b 0x4c2094aeead744
 0 0 0x30a 0x3d4f37c5 0x4c2094aeea9332
 0x1 0 0x30a 0x26c703ac 0x4c2094aeeab041
 0x2 0 0x30a 0x8a0154a6 0x4c2094aeeb4358
 0x3 0 0x30a 0x49e994c 0x4c2094aeeb4479
 0x4 0 0x30a 0x109501f82 0x4c2094aeeb4228
 0x5 0 0x30a 0x4b05f1d 0x4c2094aeeb46e2
 0x6 0 0x30a 0xbcb1a2d4 0x4c2094aeeadcf9
 0x7 0 0x30a 0x2b23424 0x4c2094aeead9f5
 0x8 0 0x30a 0x2e34d64c 0x4c2094aeead9e9
 0x9 0 0x30a 0x138513e7 0x4c2094aeeae321
 0xa 0 0x30a 0x2e21bc33 0x4c2094aeeb41b2
 0xb 0 0x30a 0x4d6972e 0x4c2094aeeb42d6
 0xc 0 0x30a 0x23ced533 0x4c2094aeeadab9
 0xd 0 0x30a 0x1be8253e 0x4c2094aeeae1d1
 0xe 0 0x30a 0x1b971699 0x4c2094aeecd91b
 0xf 0 0x30a 0x1071b9d8 0x4c2094aeeae194
 0 0 0x30b 0x9bf89675 0x4c2094aeea98d9
 0x1 0 0x30b 0x62b24848 0x4c2094aeeab2df
 0x2 0 0x30b 0x14f17dcb1 0x4c2094aeeb49a1
 0x3 0 0x30b 0xc8a1dec 0x4c2094aeeb4a89
 0x4 0 0x30b 0x1efd3cd45 0x4c2094aeeb48fa
 0x5 0 0x30b 0xa21f269 0x4c2094aeeb5060
 0x6 0 0x30b 0x2068ca2a5 0x4c2094aeeae2c0
 0x7 0 0x30b 0x67f9f9e 0x4c2094aeeae2fd
 0x8 0 0x30b 0x7356f2c0 0x4c2094aeeae311
 0x9 0 0x30b 0x1dd852df 0x4c2094aeeae935
 0xa 0 0x30b 0x77800b98 0x4c2094aeeb4723
 0xb 0 0x30b 0xaae230b 0x4c2094aeeb4944
 0xc 0 0x30b 0x569eb807 0x4c2094aeeadfc3
 0xd 0 0x30b 0x43bce9c5 0x4c2094aeeaea0c
 0xe 0 0x30b 0x45640c45 0x4c2094aeecdc70
 0xf 0 0x30b 0x21df9d11 0x4c2094aeeae99c
